,GISJoinMatchCode,DataFileYear,EstimatesMedianyearstructurebuilt
426,G0800310003602,2014-2018,1950
427,G0800310003603,2014-2018,1948
428,G0800310003701,2014-2018,1965
429,G0800310003702,2014-2018,0
430,G0800310003703,2014-2018,1947
431,G0800310003800,2014-2018,1992
432,G0800310003901,2014-2018,1965
433,G0800310003902,2014-2018,1952
434,G0800310004002,2014-2018,NA
435,G0800310004003,2014-2018,1957
436,G0800310004004,2014-2018,1964
437,G0800310004005,2014-2018,1964
438,G0800310004006,2014-2018,1971
439,G0800310004101,2014-2018,1970
440,G0800310004102,2014-2018,1956
441,G0800310004103,2014-2018,0
442,G0800310004104,2014-2018,1950
443,G0800310004106,2014-2018,2007
444,G0800310004107,2014-2018,2011
445,G0800310004201,2014-2018,0
446,G0800310004202,2014-2018,0
447,G0800310004301,2014-2018,1961
448,G0800310004302,2014-2018,1946
449,G0800310004303,2014-2018,1953
450,G0800310004304,2014-2018,1949
451,G0800310004306,2014-2018,1966
452,G0800310004403,2014-2018,1951
453,G0800310004404,2014-2018,1966
454,G0800310004405,2014-2018,2003
455,G0800310004503,2014-2018,1955
456,G0800310004504,2014-2018,1956
457,G0800310004505,2014-2018,1953
458,G0800310004506,2014-2018,1955
459,G0800310004601,2014-2018,1955
460,G0800310004602,2014-2018,1958
461,G0800310004603,2014-2018,1955
462,G0800310004700,2014-2018,1960
463,G0800310004801,2014-2018,NA
464,G0800310005001,2014-2018,1959
465,G0800310005002,2014-2018,1975
466,G0800310005102,2014-2018,1957
467,G0800310005104,2014-2018,1965
468,G0800310005200,2014-2018,1960
469,G0800310005300,2014-2018,1964
470,G0800310005502,2014-2018,1978
471,G0800310005503,2014-2018,1971
472,G0800310006701,2014-2018,2004
473,G0800310006804,2014-2018,1991
474,G0800310006809,2014-2018,1976
475,G0800310006810,2014-2018,1973
476,G0800310006811,2014-2018,1976
477,G0800310006812,2014-2018,1974
478,G0800310006813,2014-2018,1977
479,G0800310006814,2014-2018,1974
480,G0800310006901,2014-2018,1973
481,G0800310007006,2014-2018,1979
482,G0800310007013,2014-2018,1984
483,G0800310007037,2014-2018,1978
484,G0800310007088,2014-2018,1985
485,G0800310007089,2014-2018,1967
486,G0800310008304,2014-2018,1969
487,G0800310008305,2014-2018,1974
488,G0800310008306,2014-2018,1975
489,G0800310008312,2014-2018,1989
490,G0800310008386,2014-2018,1978
491,G0800310008387,2014-2018,1990
492,G0800310008388,2014-2018,2004
493,G0800310008389,2014-2018,2007
494,G0800310008390,2014-2018,1999
495,G0800310008391,2014-2018,2001
496,G0800310011902,2014-2018,1973
497,G0800310011903,2014-2018,1972
498,G0800310012001,2014-2018,1976
499,G0800310012010,2014-2018,1993
500,G0800310012014,2014-2018,1986
501,G0800310015300,2014-2018,1973
502,G0800310015400,2014-2018,0
503,G0800310015500,2014-2018,1970
504,G0800310015600,2014-2018,1973
505,G0800310015700,2014-2018,1967
506,G0800310980000,2014-2018,2005
507,G0800310980100,2014-2018,NA
508,G0800330000100,2014-2018,1973
509,G0800350013901,2014-2018,1994
510,G0800350013904,2014-2018,1990
511,G0800350013905,2014-2018,1995
512,G0800350013907,2014-2018,1997
513,G0800350013908,2014-2018,1984
514,G0800350013909,2014-2018,1999
515,G0800350013910,2014-2018,2000
516,G0800350013911,2014-2018,2002
517,G0800350014001,2014-2018,1998
518,G0800350014005,2014-2018,2003
519,G0800350014006,2014-2018,2006
520,G0800350014007,2014-2018,2004
521,G0800350014008,2014-2018,1997
522,G0800350014009,2014-2018,NA
523,G0800350014010,2014-2018,1998
