Rowid_,GISJOIN,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,G0800010008548,35,3,1920000.000000000000000,877.233581542968750,878.949523925781250,1.715942382812500,878.093994140625000,0.700539052766507,2634.281982421875000
,G0800010008549,36,3,1920000.000000000000000,877.692199707031250,879.410583496093750,1.718383789062500,878.553833007812500,0.701535740606104,2635.661499023437500
,G0800010008550,37,15,9600000.000000000000000,875.439880371093750,879.844238281250000,4.404357910156250,877.627941894531205,1.304465370009183,13164.419128417968750
,G0800010008551,38,26,16640000.000000000000000,878.990539550781250,882.657897949218750,3.667358398437500,880.803250826322142,0.947766379788045,22900.884521484375000
,G0800010008603,39,5,3200000.000000000000000,878.359619140625000,880.392883300781250,2.033264160156250,879.346569824218705,0.700409472539564,4396.732849121093750
,G0800010008604,40,4,2560000.000000000000000,879.540344238281250,881.487487792968750,1.947143554687500,880.519195556640625,0.751810141382641,3522.076782226562500
,G0800010008605,41,6,3840000.000000000000000,881.216735839843750,883.342407226562500,2.125671386718750,882.283477783203125,0.697415891985753,5293.700866699218750
,G0800010008606,42,12,7680000.000000000000000,879.400329589843750,882.190856933593750,2.790527343750000,880.556411743164063,0.838266868044279,10566.676940917968750
,G0800010008705,43,6,3840000.000000000000000,880.440429687500000,881.377197265625000,0.936767578125000,880.912007649739621,0.436955056699462,5285.472045898437500
,G0800010008706,44,9,5760000.000000000000000,882.167297363281250,883.084960937500000,0.917663574218750,882.683308919270871,0.420721118510332,7944.149780273437500
,G0800010008709,45,22,14080000.000000000000000,879.141662597656250,882.933715820312500,3.792053222656250,881.212302468039752,1.119448127742084,19386.670654296875000
,G0800010008801,46,9,5760000.000000000000000,881.371948242187500,884.473388671875000,3.101440429687500,882.926689995659672,0.892392976350049,7946.340209960937500
,G0800010008802,47,43,27520000.000000000000000,877.755187988281250,886.363891601562500,8.608703613281250,881.633053801780534,2.217207033043268,37910.221313476562500
,G0800010008901,48,24,15360000.000000000000000,875.546630859375000,879.615783691406250,4.069152832031250,878.107299804687500,1.183042377228130,21074.575195312500000
,G0800010009001,49,4,2560000.000000000000000,872.746704101562500,875.619750976562500,2.873046875000000,874.187484741210938,1.070759389658317,3496.749938964843750
,G0800010009002,50,9,5760000.000000000000000,872.867919921875000,875.828491210937500,2.960571289062500,874.207329644097172,1.089767526880216,7867.865966796875000
,G0800010009101,51,5,3200000.000000000000000,875.117248535156250,876.418273925781250,1.301025390625000,875.714990234375023,0.521583049971731,4378.574951171875000
,G0800010009103,52,13,8320000.000000000000000,877.452453613281250,881.870666503906250,4.418212890625000,879.648198054386967,1.220672789563537,11435.426574707031250
,G0800010009104,53,7,4480000.000000000000000,877.183044433593750,878.821899414062500,1.638854980468750,877.952933175223166,0.564302479510966,6145.670532226562500
,G0800010009202,54,6,3840000.000000000000000,873.204406738281250,874.527404785156250,1.322998046875000,873.870534261067746,0.502402249859618,5243.223205566406250
,G0800010009203,55,5,3200000.000000000000000,871.769775390625000,872.600952148437500,0.831176757812500,872.210278320312455,0.294586317741468,4361.051391601562500
,G0800010009204,56,6,3840000.000000000000000,872.740051269531250,874.898864746093750,2.158813476562500,873.821156819661496,0.791048713568941,5242.926940917968750
,G0800010009206,57,2,1280000.000000000000000,875.598022460937500,876.530761718750000,0.932739257812500,876.064392089843750,0.466369628906250,1752.128784179687500
,G0800010009207,58,4,2560000.000000000000000,875.841674804687500,876.991577148437500,1.149902343750000,876.416748046875000,0.478660647156461,3505.666992187500000
,G0800010009304,59,9,5760000.000000000000000,868.815185546875000,871.626098632812500,2.810913085937500,870.433878580729129,0.981856589446558,7833.904907226562500
