"","GISJOIN","HDDavg","CDDavg","IECC_Clima","BA_Climate","HDD65","CDD65","HDD65SQ","CDD65SQ","CLIMATE_COLD","CLIMATE_HOTDRY","division_code","state_name","state_code","county_name","county_code","census_tract_code","TOTALPOP","TOTALHH","DIVISION_8","DIVISION_9","HHSEX_1","HHSEX_2","HHAGE","HHAGESQ","HOUSEHOLDER_RACE_1","HOUSEHOLDER_RACE_2","HOUSEHOLDER_RACE_3","HOUSEHOLDER_RACE_4","HOUSEHOLDER_RACE_5","HOUSEHOLDER_RACE_6","HOUSEHOLDER_RACE_7","SDESCENT_0","SDESCENT_1","NHSLDMEM","NHSLDMEMSQ","NUMCHILD","NUMADULT","EDUCATION_1","EDUCATION_2","EDUCATION_3","EDUCATION_4","EDUCATION_5","MEDINCOME","MONEYPY","MONEYPY_1","MONEYPY_2","MONEYPY_3","MONEYPY_45","MONEYPY_678","EMPLOYHH_0","EMPLOYHH_12","TOTROOMS","TOTROOMSSQ","TYPEHUQ_1","TYPEHUQ_2","TYPEHUQ_3","TYPEHUQ_4","TYPEHUQ_5","YEARMADERANGE","YEARMADERANGE_1","YEARMADERANGE_2","YEARMADERANGE_3","YEARMADERANGE_4","YEARMADERANGE_5","YEARMADERANGE_6","YEARMADERANGE_7","YEARMADERANGE_8","FUELHEAT_1","FUELHEAT_2","FUELHEAT_3","FUELHEAT_5","FUELHEAT_7","FUELHEAT_21","HEATHOME","ELPAY_1"
"2004","G3500010003100",3745.14645996094,1546.79210205078,4,"Mixed-Dry",3745.14645996094,1546.79210205078,14026122.0065579,2392565.80696667,0,1,9,"New Mexico",35,"Bernalillo County",1,3100,2699,1218,0,1,0.535753982956651,0.464246017043349,56.1,3147.21,0.951559934318555,0,0.00738916256157635,0.00492610837438424,0,0.0254515599343186,0.0106732348111658,0.659133012226751,0.340866987773249,2.22,4.9284,0.229064039408867,1.99093596059113,0.0390516039051604,0.179916317991632,0.228265922826592,0.231520223152022,0.321245932124593,72500,5,0.171592775041051,0.140394088669951,0.123973727422003,0.160919540229885,0.40311986863711,0.03813882532418,0.96186117467582,6.4,40.96,0,0.838876570583888,0.0709534368070953,0.0509977827050998,0.0391722099039172,1,0.158167036215817,0.134515890613452,0.202512934220251,0.17960088691796,0.0724316334072432,0.19290465631929,0.0428677014042868,0.0169992609016999,0.901477832512315,0.00492610837438424,0,0.0673234811165846,0.0172413793103448,0.0090311986863711,1,1
"2005","G3500010003201",3744.06732177734,1546.85397338867,4,"Mixed-Dry",3744.06732177734,1546.85397338867,14018040.110001,2392757.21498832,0,1,9,"New Mexico",35,"Bernalillo County",1,3201,2603,1120,0,1,0.535920092201306,0.464079907798694,38.9,1513.21,0.770535714285714,0.0258928571428571,0.0133928571428571,0.00803571428571428,0,0.166964285714286,0.0151785714285714,0.309258547829428,0.690741452170572,2.27,5.1529,0.416071428571429,1.85392857142857,0.14010989010989,0.324175824175824,0.329120879120879,0.13956043956044,0.067032967032967,44130,4,0.239285714285714,0.209821428571429,0.308035714285714,0.170535714285714,0.0723214285714286,0.171526586620926,0.828473413379074,5.4,29.16,0.00408496732026144,0.755718954248366,0.117647058823529,0.105392156862745,0.017156862745098,1,0.274509803921569,0.255718954248366,0.166666666666667,0.0686274509803922,0.0841503267973856,0.0645424836601307,0.065359477124183,0.0204248366013072,0.883035714285714,0,0,0.0857142857142857,0.03125,0,1,0.960244648318043
"2006","G3500010003202",3743.2469656808,1546.92471749442,4,"Mixed-Dry",3743.2469656808,1546.92471749442,14011897.8460785,2392976.08159519,0,1,9,"New Mexico",35,"Bernalillo County",1,3202,5043,2237,0,1,0.533214356533809,0.466785643466191,36.8,1354.24,0.741618238712561,0,0.067948144836835,0,0,0.162717925793473,0.0277156906571301,0.268490977592703,0.731509022407297,2.24,5.0176,0.396960214573089,1.84303978542691,0.144456886898096,0.261478163493841,0.397536394176932,0.0879059350503919,0.108622620380739,34211,3,0.268216361198033,0.338399642378185,0.109968708091194,0.21502011622709,0.0683951721054984,0.0448261416003351,0.955173858399665,5.3,28.09,0.0252170318313353,0.808598594460521,0.0491938817693262,0.0301777594047127,0.086812732534105,1,0.302190988011575,0.194295163290616,0.178172798677139,0.0847457627118644,0.157503100454733,0.0152955766845804,0.0310045473336089,0.0367920628358826,0.913276709879303,0.00715243629861422,0,0.0585605721949039,0.0210102816271793,0,1,0.92381974248927
"2007","G3500010003400",3742.3832108347,1546.97413394326,4,"Mixed-Dry",3742.3832108347,1546.97413394326,14005432.0967375,2393128.97108949,0,1,9,"New Mexico",35,"Bernalillo County",1,3400,4343,1694,0,1,0.471102924245913,0.528897075754087,28.9,835.21,0.626918536009445,0.0873671782762692,0.0702479338842975,0.00354191263282172,0,0.148760330578512,0.0631641086186541,0.378079668431959,0.62192033156804,2.28,5.1984,0.720188902007084,1.55981109799292,0.268028846153846,0.257211538461538,0.411057692307692,0.0572916666666667,0.00641025641025641,25668,3,0.360684769775679,0.409090909090909,0.122195985832349,0.0850059031877214,0.0230224321133412,0.0951566951566952,0.904843304843305,3.7,13.69,0.183705241307732,0.0892579138557343,0.00207576543850545,0.303061754021796,0.421899325376232,1,0.0217955371043072,0.01141670991178,0.147379346133887,0.32381940840685,0.330046704722366,0.152049818370524,0.01141670991178,0.00207576543850545,0.710743801652893,0.00885478158205431,0,0.280401416765053,0,0,1,0.723864455659697
"2008","G3500010003501",3747.45444623162,1546.50692210478,4,"Mixed-Dry",3747.45444623162,1546.50692210478,14043414.8265811,2391683.660118,0,1,9,"New Mexico",35,"Bernalillo County",1,3501,6153,2552,0,1,0.569640825613522,0.430359174386478,43,1849,0.820141065830721,0.0223354231974922,0,0,0,0.133228840125392,0.024294670846395,0.377214366975459,0.622785633024541,2.41,5.8081,0.354623824451411,2.05537617554859,0.112117780294451,0.277463193657984,0.313023782559456,0.123669309173273,0.173725934314836,50371,4,0.20141065830721,0.220219435736677,0.217868338557994,0.11128526645768,0.249216300940439,0.0527031621897314,0.947296837810269,5.4,29.16,0.147303655446978,0.569308722403185,0.0423452768729642,0.0314875135722041,0.209554831704669,1,0.13861744480637,0.128483532392327,0.114730365544698,0.133550488599349,0.166485703944987,0.221136445892146,0.0705754614549403,0.0264205573651828,0.807210031347962,0.00509404388714734,0.00470219435736677,0.121865203761755,0.0348746081504702,0.0262539184952978,1,0.804060913705584
"2009","G3500010003502",3747.89658766526,1546.48204627404,4,"Mixed-Dry",3747.89658766526,1546.48204627404,14046728.8318329,2391606.71944794,0,1,9,"New Mexico",35,"Bernalillo County",1,3502,5195,2220,0,1,0.510683349374398,0.489316650625602,53.7,2883.69,0.863963963963964,0,0,0,0,0.0954954954954955,0.0405405405405405,0.628873917228104,0.371126082771896,2.33,5.4289,0.330630630630631,1.99936936936937,0.0335262904003859,0.130969609261939,0.297877472262422,0.235648818137964,0.301977809937289,82586,6,0.145495495495496,0.0815315315315315,0.160810810810811,0.165765765765766,0.446396396396396,0.00982244049867775,0.990177559501322,7.1,50.41,0.0113222806308128,0.86170642943793,0.0671249494541043,0.021431459765467,0.0384148807116862,1,0.262434290335625,0.196522442377679,0.103113627173474,0.166599272139102,0.0950262838657501,0.085321471896482,0.0525677315002022,0.0384148807116862,0.89009009009009,0,0,0.0774774774774775,0.018018018018018,0.00630630630630631,0.991891891891892,0.88339222614841
"2010","G3500010003600",3753.81080118815,1545.77141825358,4,"Mixed-Dry",3753.81080118815,1545.77141825358,14091095.5311168,2389409.27748969,0,1,9,"New Mexico",35,"Bernalillo County",1,3600,6839,2658,0,1,0.519666617926597,0.480333382073403,48.7,2371.69,0.788562829194883,0,0.0191873589164786,0.0270880361173815,0,0.165161775771257,0,0.40693083784179,0.59306916215821,2.57,6.6049,0.353273137697517,2.21672686230248,0.140462427745665,0.271098265895954,0.269556840077071,0.153757225433526,0.165125240847784,51029,4,0.17607223476298,0.232129420617005,0.133182844243792,0.200150489089541,0.258465011286682,0.0332512315270936,0.966748768472906,6.3,39.69,0.219619823489477,0.726069246435845,0.0203665987780041,0.0339443312966735,0,1,0.0814663951120163,0.11744738628649,0.197216564833673,0.21418873048201,0.194501018329939,0.0702647657841141,0.0753564154786151,0.0495587236931432,0.833709556057186,0.0244544770504138,0,0.0963130173062453,0.0124153498871332,0.0331075996990218,1,0.923387096774194
"2011","G3500010003707",3745.44889322917,1546.72943115234,4,"Mixed-Dry",3745.44889322917,1546.72943115234,14028387.4117916,2392371.93319285,0,1,9,"New Mexico",35,"Bernalillo County",1,3707,4416,2130,0,1,0.52536231884058,0.47463768115942,45.5,2070.25,0.863849765258216,0,0.02018779342723,0,0,0.0539906103286385,0.0619718309859155,0.653079710144927,0.346920289855072,2.07,4.2849,0.205164319248826,1.86483568075117,0.0736179529282978,0.168856048166393,0.354679802955665,0.202517788724685,0.200328407224959,52520,4,0.223004694835681,0.150704225352113,0.260093896713615,0.151643192488263,0.214553990610329,0.0693191140278917,0.930680885972108,5,25,0.00588977702986958,0.392932267564157,0.132519983172066,0.0492217080353387,0.41943626419857,1,0.00631047538914598,0.0429112326461927,0.122843920908708,0.417332772402188,0.268405553218342,0.129575094657131,0.0117795540597392,0.000841396718552798,0.775117370892019,0,0,0.224882629107981,0,0,1,0.649440137812231
"2012","G3500010003712",3750.6308186849,1546.19667561849,4,"Mixed-Dry",3750.6308186849,1546.19667561849,14067231.5380689,2390724.15969367,0,1,9,"New Mexico",35,"Bernalillo County",1,3712,5254,2045,0,1,0.480205557670346,0.519794442329654,41.8,1747.24,0.828850855745721,0.0136919315403423,0.0019559902200489,0.0513447432762836,0,0.0924205378973105,0.0117359413202934,0.603159497525695,0.396840502474305,2.54,6.4516,0.429828850855746,2.11017114914425,0.060479375696767,0.183667781493868,0.296265328874025,0.311872909698997,0.147714604236343,77336,5,0.134963325183374,0.0865525672371638,0.117359413202934,0.345721271393643,0.315403422982885,0.0455478046778826,0.954452195322117,5.8,33.64,0,0.873284537968893,0.0375114364135407,0.0215004574565416,0.0677035681610247,1,0.0169258920402562,0,0.0494053064958829,0.53156450137237,0.255718206770357,0.0329368709972553,0.105215004574565,0.00823421774931381,0.896332518337408,0.00880195599022005,0,0.0841075794621027,0.00635696821515892,0.00440097799511002,1,0.785123966942149
"2013","G3500010003714",3744.57329101562,1546.79860839844,4,"Mixed-Dry",3744.57329101562,1546.79860839844,14021829.1317876,2392585.93494334,0,1,9,"New Mexico",35,"Bernalillo County",1,3714,7500,3576,0,1,0.581466666666667,0.418533333333333,31.4,985.96,0.680089485458613,0.0514541387024608,0.0634787472035794,0.0285234899328859,0,0.119407158836689,0.0570469798657718,0.551866666666667,0.448133333333333,2.1,4.41,0.312919463087248,1.78708053691275,0.103380887238616,0.172171194059019,0.379714676568302,0.228454172366621,0.116279069767442,36742,3,0.248042505592841,0.306487695749441,0.192673378076063,0.154642058165548,0.0981543624161074,0.12763186455394,0.87236813544606,4.1,16.81,0,0.238670694864048,0.0596676737160121,0.111027190332326,0.590634441087613,1,0.00704934541792548,0.0163645518630413,0.198388721047331,0.402567975830816,0.288016112789527,0.054380664652568,0.0332326283987915,0,0.579977628635347,0.00335570469798658,0,0.396252796420582,0.00671140939597315,0.0069910514541387,0.993288590604027,0.797919167667067
"2014","G3500010003715",3749.08549804687,1546.38809814453,4,"Mixed-Dry",3749.08549804687,1546.38809814453,14055642.0716654,2391316.15008306,0,1,9,"New Mexico",35,"Bernalillo County",1,3715,3919,1832,0,1,0.498851747894871,0.501148252105129,51.1,2611.21,0.887008733624454,0.0229257641921397,0,0.0316593886462882,0,0.0545851528384279,0.00382096069868996,0.731053840265374,0.268946159734626,2.14,4.5796,0.346069868995633,1.79393013100437,0.0666026256804355,0.0864553314121038,0.314121037463977,0.248479026577009,0.284341978866475,83500,6,0.0649563318777293,0.160480349344978,0.15174672489083,0.196506550218341,0.426310043668122,0.0254237288135593,0.974576271186441,6.2,38.44,0.0181997048696508,0.618789965568126,0.202164289227742,0.0457452041318249,0.115100836202656,1,0,0.00393507132316773,0.00344318740777177,0.253812100344319,0.581898671913428,0.141662567634038,0.015248401377275,0,0.856986899563319,0.00491266375545852,0,0.138100436681223,0,0,1,1
"2015","G3500010003717",3747.25451660156,1546.58435058594,4,"Mixed-Dry",3747.25451660156,1546.58435058594,14041916.4121908,2391923.15347733,0,1,9,"New Mexico",35,"Bernalillo County",1,3717,5327,2364,0,1,0.524873287028346,0.475126712971654,43.2,1866.24,0.791032148900169,0.0148054145516074,0.0414551607445008,0.0452622673434856,0,0.094331641285956,0.0131133671742809,0.702646893185658,0.297353106814342,2.25,5.0625,0.428934010152284,1.82106598984772,0.0268875611080934,0.121944595328626,0.333514394350896,0.291689299293862,0.225964149918523,62872,5,0.167935702199662,0.194585448392555,0.132825719120135,0.19077834179357,0.313874788494078,0.046554084892743,0.953445915107257,5.7,32.49,0,0.482625482625483,0.0756756756756757,0.131274131274131,0.31042471042471,1,0.00579150579150579,0,0.00656370656370656,0.405405405405405,0.333976833976834,0.187644787644788,0.0544401544401544,0.00617760617760618,0.850676818950931,0.0241116751269036,0,0.120135363790186,0,0,0.99492385786802,0.988888888888889
"2016","G3500010003718",3746.04459635417,1546.7069905599,4,"Mixed-Dry",3746.04459635417,1546.7069905599,14032850.1178742,2392302.51464685,0,1,9,"New Mexico",35,"Bernalillo County",1,3718,2527,1036,0,1,0.525920063316185,0.474079936683815,46.7,2180.89,0.797297297297297,0.0231660231660232,0.0125482625482625,0.0897683397683398,0,0.0617760617760618,0.0154440154440154,0.772853185595568,0.227146814404432,2.44,5.9536,0.327220077220077,2.11277992277992,0.123244929797192,0.18148725949038,0.301612064482579,0.255330213208528,0.138325533021321,66500,5,0.135135135135135,0.136100386100386,0.194015444015444,0.267374517374517,0.267374517374517,0.113619810633649,0.886380189366351,6,36,0,0.7828418230563,0.0402144772117962,0.0259159964253798,0.151027703306524,1,0,0.0482573726541555,0.287756925826631,0.378016085790885,0.140303842716711,0.107238605898123,0.0384271671134942,0,0.847490347490347,0.0357142857142857,0,0.105212355212355,0,0.0115830115830116,1,0.951690821256039
"2017","G3500010003719",3748.61104329427,1546.52819824219,4,"Mixed-Dry",3748.61104329427,1546.52819824219,14052084.7539078,2391749.46795823,0,1,9,"New Mexico",35,"Bernalillo County",1,3719,5795,2550,0,1,0.571527178602243,0.428472821397757,40.8,1664.64,0.791764705882353,0.036078431372549,0.023921568627451,0.0215686274509804,0,0.120392156862745,0.00627450980392157,0.690077653149267,0.309922346850733,2.23,4.9729,0.469803921568627,1.76019607843137,0.035373808329152,0.187405920722529,0.379829402910186,0.20471650777722,0.192674360260913,60208,5,0.162745098039216,0.162745098039216,0.172941176470588,0.243137254901961,0.25843137254902,0.0355781448538755,0.964421855146125,4.9,24.01,0,0.434549356223176,0.0647353361945637,0.125536480686695,0.375178826895565,1,0.00965665236051502,0.0139484978540773,0.0575822603719599,0.292918454935622,0.344420600858369,0.19277539341917,0.0833333333333333,0.00536480686695279,0.736078431372549,0.00666666666666667,0,0.24,0.00549019607843137,0,0.988235294117647,0.738689547581903
"2018","G3500010003721",3760.75986800655,1544.60904554141,4,"Mixed-Dry",3760.75986800655,1544.60904554141,14143314.7848087,2385817.10356836,0,1,9,"New Mexico",35,"Bernalillo County",1,3721,6812,2804,0,1,0.49618320610687,0.50381679389313,53.5,2862.25,0.895149786019971,0.0224679029957204,0.00427960057061341,0.0388730385164051,0,0.0349500713266762,0.00427960057061341,0.846741045214328,0.153258954785672,2.43,5.9049,0.388373751783167,2.04162624821683,0.014171511627907,0.0899345930232558,0.193859011627907,0.230922965116279,0.471111918604651,122292,NA,0.0645506419400856,0.0838088445078459,0.0666904422253923,0.139800285306705,0.645149786019971,0.0155582672361196,0.98444173276388,6.7,44.89,0,0.812644056634837,0.0859400724399078,0.016463615409944,0.0849522555153112,1,0,0,0.0111952584787619,0.138952914059928,0.22357589726704,0.277247283503457,0.322357589726704,0.0266710569641093,0.923680456490727,0.00855920114122682,0,0.0627674750356633,0,0.00499286733238231,1,1
"2019","G3500010003722",3753.50674874442,1545.8130405971,4,"Mixed-Dry",3753.50674874442,1545.8130405971,14088812.9128699,2389537.95648005,0,1,9,"New Mexico",35,"Bernalillo County",1,3722,6430,2265,0,1,0.524105754276827,0.475894245723173,39.4,1552.36,0.757174392935982,0,0,0.125386313465784,0,0.0710816777041943,0.0463576158940397,0.642923794712286,0.357076205287714,2.84,8.0656,0.525827814569536,2.31417218543046,0.0455531453362256,0.16293082670523,0.235719450469993,0.265606170161485,0.290190407327067,107451,7,0.0909492273730684,0.0750551876379691,0.0988962472406181,0.186313465783664,0.54878587196468,0.0739702998038666,0.926029700196133,6.1,37.21,0.0657894736842105,0.870476973684211,0.0637335526315789,0,0,1,0,0,0.00575657894736842,0,0.126644736842105,0.289884868421053,0.567845394736842,0.00986842105263158,0.886092715231788,0,0,0.0896247240618102,0.0242825607064018,0,1,1
