"","GISJOIN","UATYP10","HDD65","HDD65SQ","CDD65","CDD65SQ","CLIMATE_COLD","CLIMATE_HOTDRY","TOTALPOP","TOTALHH","DIVISION_8","DIVISION_9","HHSEX_1","HHSEX_2","HHAGE","HHAGESQ","HOUSEHOLDER_RACE_1","HOUSEHOLDER_RACE_2","HOUSEHOLDER_RACE_3","HOUSEHOLDER_RACE_4","HOUSEHOLDER_RACE_5","HOUSEHOLDER_RACE_6","HOUSEHOLDER_RACE_7","SDESCENT_0","SDESCENT_1","NHSLDMEM","NHSLDMEMSQ","NUMCHILD","NUMADULT","EDUCATION_1","EDUCATION_2","EDUCATION_3","EDUCATION_4","EDUCATION_5","MEDINCOME","MONEYPY","MONEYPY_1","MONEYPY_2","MONEYPY_3","MONEYPY_45","MONEYPY_678","EMPLOYHH_0","EMPLOYHH_12","TOTROOMS","TOTROOMSSQ","TYPEHUQ_1","TYPEHUQ_2","TYPEHUQ_3","TYPEHUQ_4","TYPEHUQ_5","YEARMADERANGE_1","YEARMADERANGE_2","YEARMADERANGE_3","YEARMADERANGE_4","YEARMADERANGE_5","YEARMADERANGE_6","YEARMADERANGE_7","YEARMADERANGE_8","UGASHERE","FUELHEAT_1","FUELHEAT_2","FUELHEAT_3","FUELHEAT_5","FUELHEAT_7","FUELHEAT_21","HEATHOME","ELPAY_1","ELPAY_2","UATYP10_R","UATYP10_U","UATYP10_C"
"591","G0800410000101","U",5658.03094752489,32013314.2031494,257.940868136498,66533.4914550104,1,0,6270,6270,1,0,0.528867623604466,0.471132376395534,39.8,1584.04,0.823923444976077,0.0574162679425837,0,0.0114832535885167,0,0.0400318979266348,0.0671451355661882,0.854385964912281,0.145614035087719,2.07,4.2849,0.137480063795853,1.93251993620415,0.0330760749724366,0.21058434399118,0.377949283351709,0.187651598676957,0.190738699007718,47923,4,0.224707501720578,0.200963523743978,0.156572608396421,0.277357192016518,0.140399174122505,0.0436197916666667,0.956380208333333,4.4,19.36,0,0.335751978891821,0.108509234828496,0.108179419525066,0.447559366754617,0,0.0695910290237467,0.115105540897098,0.227902374670185,0.303100263852243,0.147427440633245,0.131266490765171,0.00560686015831135,1,0.693392980041294,0.0254645560908465,0,0.262216104611149,0.00860289057123193,0,0.989676531314522,0.898862956313585,0.101137043686415,0,1,0
"592","G0800410000102","U",5595.37774658203,31308252.1269454,290.902963570669,84624.5342141981,1,0,3520,3520,1,0,0.515056818181818,0.484943181818182,42.7,1823.29,0.932954545454545,0.0190340909090909,0.00284090909090909,0,0,0.0176136363636364,0.0275568181818182,0.877556818181818,0.122443181818182,2.69,7.2361,0.160227272727273,2.52977272727273,0.0192610062893082,0.338836477987421,0.325078616352201,0.193789308176101,0.123034591194969,74904,5,0.0605828220858896,0.131134969325153,0.138803680981595,0.386503067484663,0.282975460122699,0.0577130528586839,0.942286947141316,7.4,54.76,0,0.973053892215569,0.0209580838323353,0,0.00598802395209581,0,0.311377245508982,0.489520958083832,0.18562874251497,0.00673652694610778,0.00673652694610778,0,0,1,0.88420245398773,0,0,0.111196319018405,0,0.00460122699386503,1,1,0,0,1,0
"593","G0800410000202","U",5647.48327352834,31894067.3247824,242.128485655173,58626.2035656674,1,0,4677,4677,1,0,0.470387000213812,0.529612999786188,35.8,1281.64,0.858883899935856,0.0491768227496258,0.00149668590977122,0.0145392345520633,0,0.0233055377378662,0.0525978191148172,0.858242463117383,0.141757536882617,2.52,6.3504,0.187299550994227,2.33270044900577,0.0547901313681512,0.240307593719962,0.338993912207626,0.272348606215956,0.093559756488305,62859,5,0.130317716747442,0.18578352180937,0.13785675821217,0.282714054927302,0.263327948303716,0.0715092209258562,0.928490779074144,6.8,46.24,0,0.646971201588878,0.0099304865938431,0,0.343098311817279,0.00446871896722939,0.00893743793445879,0.258689175769613,0.46772591857001,0.194141012909633,0.0422045680238332,0.00397219463753724,0.0198609731876862,1,0.746903607969844,0.0107700592353258,0,0.200861604738826,0.0317716747442111,0,0.990306946688207,0.981157469717362,0.018842530282638,0,1,0
"594","G0800410000203","U",5934.40479678199,35217160.2920691,207.079925199899,42882.0954207956,1,0,4368,4368,1,0,0.489697802197802,0.510302197802198,30.2,912.04,0.891712454212454,0.0400641025641026,0.00137362637362637,0.00801282051282051,0,0.0116758241758242,0.0471611721611722,0.88507326007326,0.11492673992674,2.47,6.1009,0.16735347985348,2.30264652014652,0.0445344129554656,0.234081707765918,0.426941479573059,0.212366580787633,0.0820758189179242,49316,4,0.177236693091733,0.192525481313703,0.248584371460929,0.240656851642129,0.140996602491506,0.0311804008908686,0.968819599109131,5.9,34.81,0.0328587075575027,0.69934282584885,0.0224534501642935,0.153340635268346,0.0920043811610077,0.0191675794085433,0.249726177437021,0.208105147864184,0.305585980284775,0.148959474260679,0.0334063526834611,0.0312157721796276,0.00383351588170865,1,0.686296715741789,0.0249150622876557,0,0.259343148357871,0.029445073612684,0,1,0.963615023474178,0.0363849765258216,0,1,0
"595","G0800410000301","U",5902.71352539063,34842026.9628294,213.160763728468,45437.5111933036,1,0,3459,3459,1,0,0.490315119976872,0.509684880023128,39.7,1576.09,0.796472969066204,0.0101185313674472,0,0.0144550448106389,0,0.128360797918474,0.0505926568372362,0.630239953743857,0.369760046256143,2.46,6.0516,0.151777970511709,2.30822202948829,0.130732961851693,0.273896270895842,0.3737676810973,0.159022717531076,0.0625803686240892,47898,4,0.175489485134155,0.24075416968818,0.189267585206672,0.192893401015228,0.201595358955765,0.0412916887241927,0.958708311275807,5.3,28.09,0.115465360391882,0.597620713785864,0.0538838348495451,0.0944716585024493,0.138558432470259,0.0286913925822253,0.427571728481456,0.142057382785164,0.179146256123163,0.155353393981805,0.0524842547235829,0.0146955913226032,0,1,0.691805656272661,0.0710659898477157,0,0.208846990572879,0.0130529369108049,0,0.984771573604061,0.878136200716846,0.121863799283154,0,1,0
"596","G0800410000302","U",6196.73960279382,38399581.7048333,182.784949667054,33410.3378247873,1,0,4986,4986,1,0,0.462294424388287,0.537705575611713,32.1,1030.41,0.790012033694344,0.078820697954272,0.00762133975130365,0.0268752507019655,0,0.0296831127156037,0.066987565182511,0.761933413557962,0.238066586442038,2.27,5.1529,0.118732450862415,2.15126754913759,0.133651551312649,0.341885441527446,0.346957040572792,0.124701670644391,0.0528042959427208,35268,3,0.273858921161826,0.303423236514523,0.225103734439834,0.158713692946058,0.0389004149377593,0.104651162790698,0.895348837209302,4.1,16.81,0.613751263902932,0.0480283114256825,0.00556117290192113,0.00151668351870576,0.331142568250758,0.0222446916076845,0.0242669362992922,0.221435793731041,0.235085945399393,0.100606673407482,0.260869565217391,0.0915065722952477,0.0439838220424671,1,0.730809128630705,0.0254149377593361,0,0.243775933609959,0,0,1,0.874251497005988,0.125748502994012,0,1,0
"597","G0800410000400","U",5922.94724878772,35081304.111922,216.01407861141,46662.0821583363,1,0,2061,2061,1,0,0.530325084910238,0.469674915089762,49.2,2420.64,0.881125667151868,0.0111596312469675,0.0368753032508491,0.0252304706453178,0,0.0232896652110626,0.022319262493935,0.894711305191655,0.105288694808345,1.93,3.7249,0.126637554585153,1.80336244541485,0.0838627700127065,0.175349428208386,0.39707750952986,0.191867852604828,0.151842439644219,53226,4,0.138157894736842,0.245300751879699,0.169172932330827,0.316729323308271,0.130639097744361,0.110383536014967,0.889616463985033,5.4,29.16,0,0.746358183376178,0.0248500428449015,0.0694087403598972,0.159383033419023,0.0334190231362468,0.502142245072836,0.222793487574979,0.0522707797772065,0.0214224507283633,0.0574121679520137,0.0968294772922022,0.0137103684661525,1,0.81484962406015,0,0,0.177631578947368,0,0.0075187969924812,1,0.688385269121813,0.311614730878187,0,1,0
"598","G0800410000500","U",5987.86981997283,35854584.9809414,205.873681503394,42383.9727357609,1,0,2122,2122,1,0,0.525447690857681,0.474552309142319,43,1849,0.864278982092366,0.0749293119698398,0,0.00424128180961357,0,0.0103675777568332,0.0461828463713478,0.95004712535344,0.0499528746465598,2.18,4.7524,0.129594721960415,2.05040527803959,0.0688806888068881,0.164206642066421,0.356088560885609,0.32779827798278,0.0830258302583026,52424,4,0.176954732510288,0.15843621399177,0.200617283950617,0.265432098765432,0.198559670781893,0.0730240549828179,0.926975945017182,5.6,31.36,0,0.933209647495362,0,0.0538033395176252,0.012987012987013,0.476808905380334,0.376623376623377,0.0649350649350649,0.0408163265306122,0.0222634508348794,0.0102040816326531,0.00834879406307978,0,1,0.801440329218107,0,0,0.19238683127572,0,0.00617283950617284,1,0.872832369942196,0.127167630057803,0,1,0
"599","G0800410000600","U",5695.91093076509,32443401.3312092,253.91276728091,64471.6933882497,1,0,3015,3015,1,0,0.478275290215589,0.521724709784411,40.1,1608.01,0.913764510779436,0.0494195688225539,0.0033167495854063,0.0182421227197347,0,0,0.015257048092869,0.877280265339967,0.122719734660033,2.38,5.6644,0.174129353233831,2.20587064676617,0.0393518518518519,0.241203703703704,0.385648148148148,0.235185185185185,0.0986111111111111,57614,4,0.0837944664031621,0.201581027667984,0.222924901185771,0.309090909090909,0.182608695652174,0.0597183098591549,0.940281690140845,6.3,39.69,0.00526315789473684,0.906015037593985,0,0.0526315789473684,0.0360902255639098,0,0.743609022556391,0.171428571428571,0.0398496240601504,0.0240601503759399,0.0157894736842105,0,0.00526315789473684,1,0.874308300395257,0.0102766798418972,0,0.109881422924901,0,0.00553359683794466,1,1,0,0,1,0
"600","G0800410000700","U",5651.22650331439,31936360.991763,264.85663193279,70149.0354787816,1,0,3375,3375,1,0,0.527407407407407,0.472592592592593,37.9,1436.41,0.807111111111111,0.112,0.0112592592592593,0.00266666666666667,0,0.0133333333333333,0.0536296296296296,0.852444444444444,0.147555555555556,2.25,5.0625,0.157925925925926,2.09207407407407,0.0761421319796954,0.269458544839256,0.415820642978003,0.127749576988156,0.11082910321489,43872,4,0.219479653102068,0.218145430286858,0.158105403602402,0.247498332221481,0.156771180787191,0.0216830149716056,0.978316985028394,5.6,31.36,0,0.546099290780142,0.0786589297227595,0.0870406189555126,0.288201160541586,0.0638297872340425,0.363636363636364,0.291424887169568,0.161186331399097,0.0793036750483559,0.0303030303030303,0.0103159252095422,0,1,0.674449633088726,0.019346230820547,0,0.291527685123416,0,0.0146764509673115,1,0.800771208226221,0.199228791773779,0,1,0
"601","G0800410000800","U",5815.58189561632,33820992.7846203,231.04562528312,53382.0809624678,1,0,3000,3000,1,0,0.486333333333333,0.513666666666667,40,1600,0.869333333333333,0.00866666666666667,0.00966666666666667,0.023,0,0.031,0.0583333333333333,0.842,0.158,2.15,4.6225,0.185,1.965,0.0239852398523985,0.262915129151292,0.344557195571956,0.202490774907749,0.166051660516605,52019,4,0.194343727338651,0.191443074691806,0.1464829586657,0.204496011602611,0.263234227701233,0.0513478818998716,0.948652118100128,5.4,29.16,0,0.612587412587413,0.0587412587412587,0.2,0.128671328671329,0.304895104895105,0.521678321678322,0.0615384615384615,0.0356643356643357,0.0223776223776224,0.0328671328671329,0,0.020979020979021,1,0.736040609137056,0.00652646845540247,0,0.250906453952139,0,0.00652646845540247,1,0.856716417910448,0.143283582089552,0,1,0
"602","G0800410000900","U",5994.82986450195,35937985.1043245,203.105101217771,41251.6821406809,1,0,2404,2404,1,0,0.519134775374376,0.480865224625624,43.5,1892.25,0.859400998336107,0.024126455906822,0,0.040765391014975,0,0.00582362728785358,0.0698835274542429,0.964226289517471,0.0357737104825291,2.08,4.3264,0.153078202995008,1.92692179700499,0.0483958673191952,0.0902664491571506,0.281131049483415,0.300163132137031,0.280043501903208,74306,5,0.124673060156931,0.208369659982563,0.0967741935483871,0.211857018308631,0.358326068003487,0.0617206982543641,0.938279301745636,5.8,33.64,0,0.739165329052969,0.0321027287319422,0.118780096308186,0.109951845906902,0.747191011235955,0.0634028892455859,0.0160513643659711,0.0529695024077047,0.0168539325842697,0.00802568218298555,0.0473515248796148,0.0481540930979133,1,0.801220575414124,0.00959023539668701,0,0.183958151700087,0.00523103748910201,0,1,0.894601542416452,0.105398457583548,0,1,0
"603","G0800410001000","U",6184.29111013105,38245456.5348459,185.487370726277,34405.5646989473,1,0,2445,2445,1,0,0.505112474437628,0.494887525562372,46.5,2162.25,0.916973415132924,0.0212678936605317,0,0.0016359918200409,0,0.0118609406952965,0.0482617586912065,0.925562372188139,0.0744376278118609,2.31,5.3361,0.211860940695297,2.0981390593047,0.0309684684684685,0.108671171171171,0.114864864864865,0.345720720720721,0.399774774774775,84083,6,0.132038834951456,0.125242718446602,0.142718446601942,0.201941747572816,0.398058252427184,0.0452302631578947,0.954769736842105,7.4,54.76,0.00712377560106857,0.764024933214604,0.0142475512021371,0.0276046304541407,0.18699910952805,0.897595725734639,0.0365093499554764,0.00712377560106857,0,0.0409617097061443,0.00979519145146928,0.00801424755120214,0,1,0.86504854368932,0.00388349514563107,0,0.114563106796117,0.00776699029126214,0,0.99126213592233,0.775623268698061,0.224376731301939,0,1,0
"604","G0800410001101","U",6269.70678710938,39309223.1963254,179.896749702541,32362.8405535388,1,0,1454,1454,1,0,0.429848693259972,0.570151306740028,40.1,1608.01,0.912654745529574,0.0261348005502063,0.0137551581843191,0.00343878954607978,0,0.0178817056396149,0.0261348005502063,0.699449793672627,0.300550206327373,1.92,3.6864,0.131361760660248,1.78863823933975,0.0423042304230423,0.303330333033303,0.337533753375338,0.236723672367237,0.0801080108010801,37232,3,0.201846965699208,0.341688654353562,0.142480211081794,0.213720316622691,0.100263852242744,0.0437566702241195,0.95624332977588,4.1,16.81,0.00524246395806029,0.391874180865007,0.0301441677588467,0.197903014416776,0.374836173001311,0.302752293577982,0.237221494102228,0.110091743119266,0.234600262123198,0.0747051114023591,0.0262123197903014,0.0144167758846658,0,1,0.679419525065963,0,0,0.311345646437995,0,0.00395778364116095,0.994722955145119,0.843809523809524,0.156190476190476,0,1,0
"605","G0800410001104","U",6534.75582593108,42703033.7045402,159.90934007902,25570.9970445078,1,0,3146,3146,1,0,0.504132231404959,0.495867768595041,41.9,1755.61,0.874125874125874,0.0340114431023522,0.0222504767959313,0.012396694214876,0.00317863954227591,0.0190718372536554,0.034965034965035,0.785123966942149,0.214876033057851,2.06,4.2436,0.075333757151939,1.98466624284806,0.0346844964479733,0.264103635603845,0.36105307145842,0.210196406184705,0.129962390305056,49464,4,0.149410222804718,0.27129750982962,0.181520314547837,0.190039318479685,0.207732634338139,0.0662839248434238,0.933716075156576,5,25,0,0.540507111935683,0.0587507730364873,0.230055658627087,0.170686456400742,0.0785405071119357,0.200371057513915,0.106988249845393,0.225108225108225,0.111935683364255,0.176252319109462,0.0847247990105133,0.0160791589363018,1,0.699868938401048,0.0111402359108781,0,0.277850589777195,0,0.0111402359108781,1,0.90402075226978,0.0959792477302205,0,1,0
"606","G0800410001301","U",6757.70327360734,45666553.5341233,116.429001136448,13555.712305631,1,0,2018,2018,1,0,0.493557978196234,0.506442021803766,47.6,2265.76,0.927155599603568,0.00445986124876115,0,0.00792864222001982,0,0.0168483647175421,0.043607532210109,0.81615460852329,0.18384539147671,1.78,3.1684,0.0867195242814668,1.69328047571853,0.102372034956305,0.203495630461923,0.341448189762797,0.204744069912609,0.147940074906367,50282,4,0.212204007285974,0.183970856102004,0.290528233151184,0.136612021857924,0.176684881602914,0.050914876690533,0.949085123309467,5.2,27.04,0.00406173842404549,0.730300568643379,0.0316815597075548,0.138099106417547,0.0958570268074736,0.624695369618197,0.0974817221770918,0.0690495532087734,0.0349309504467912,0.0227457351746548,0.0950446791226645,0.0560519902518278,0,1,0.802367941712204,0,0,0.162112932604736,0.0163934426229508,0.0109289617486339,0.991803278688525,0.753320683111954,0.246679316888046,0,1,0
"607","G0800410001302","U",6673.62913602941,44537325.8452607,138.424882529227,19161.4481032302,1,0,5291,5291,1,0,0.486675486675487,0.513324513324513,38.1,1451.61,0.916083916083916,0.00661500661500661,0,0.0103950103950104,0,0.0051030051030051,0.0618030618030618,0.885276885276885,0.114723114723115,2.08,4.3264,0.146853146853147,1.93314685314685,0.120790073436313,0.191440871106609,0.306913142567739,0.233223600911623,0.147632311977716,46875,4,0.148308418568057,0.300157356412274,0.189614476789929,0.206923682140047,0.154996066089693,0.080448717948718,0.919551282051282,5.5,30.25,0,0.535687167805619,0.0956719817767654,0.11921032649962,0.249430523917995,0.0508731966590737,0.171602126044039,0.102126044039484,0.336370539104024,0.218678815489749,0.0421412300683371,0.0387243735763098,0.0394836750189825,1,0.648308418568057,0.00708103855232101,0,0.307238394964595,0.004720692368214,0.010228166797797,0.977576711250983,0.924563017479301,0.0754369825206992,0,1,0
"608","G0800410001400","U",6323.23653971354,39983320.3371685,142.81071037984,20394.8989991945,1,0,3515,3515,1,0,0.509246088193457,0.490753911806543,42.2,1780.84,0.921479374110953,0.00113798008534851,0.0113798008534851,0.0142247510668563,0,0.0147937411095306,0.0369843527738265,0.891322901849218,0.108677098150782,2.12,4.4944,0.130298719772404,1.9897012802276,0.134741442097597,0.19373634377276,0.321922796795339,0.249817916970138,0.0997815003641661,45472,4,0.209090909090909,0.254545454545455,0.176363636363636,0.202424242424242,0.157575757575758,0.0392156862745098,0.96078431372549,5.5,30.25,0.00271591526344378,0.693101575230853,0.0260727865290603,0.160239000543183,0.11787072243346,0.595328625746877,0.155350353068984,0.0570342205323194,0.0255296034763715,0.0564910374796306,0.0592069527430744,0.0510592069527431,0,1,0.821212121212121,0,0,0.161212121212121,0.00424242424242424,0.00484848484848485,0.991515151515151,0.805006587615283,0.194993412384717,0,1,0
