Rowid_,GISJOIN,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,G3200310000102,1805,4,2560000.000000000000000,4413.268066406250000,4415.299316406250000,2.031250000000000,4414.371948242187500,0.762039302965625,17657.487792968750000
,G3200310000201,1806,2,1280000.000000000000000,4418.692871093750000,4419.358398437500000,0.665527343750000,4419.025634765625000,0.332763671875000,8838.051269531250000
,G3200310000202,1807,2,1280000.000000000000000,4414.659179687500000,4415.887695312500000,1.228515625000000,4415.273437500000000,0.614257812500000,8830.546875000000000
,G3200310000300,1808,4,2560000.000000000000000,4415.921875000000000,4417.847167968750000,1.925292968750000,4416.884643554687500,0.682311539445484,17667.538574218750000
,G3200310000400,1809,5,3200000.000000000000000,4412.246582031250000,4415.604980468750000,3.358398437500000,4414.015332031250182,1.154947922830965,22070.076660156250000
,G3200310000700,1810,6,3840000.000000000000000,4415.510253906250000,4418.465332031250000,2.955078125000000,4417.016438802083030,0.991881143025711,26502.098632812500000
,G3200310000900,1811,3,1920000.000000000000000,4419.419433593750000,4420.638671875000000,1.219238281250000,4420.047200520833030,0.498413165663390,13260.141601562500000
,G3200310001005,1812,6,3840000.000000000000000,4419.719238281250000,4421.267089843750000,1.547851562500000,4420.622639973958030,0.502592789977453,26523.735839843750000
,G3200310001008,1813,2,1280000.000000000000000,4419.511718750000000,4420.358398437500000,0.846679687500000,4419.935058593750000,0.423339843750000,8839.870117187500000
,G3200310001009,1814,2,1280000.000000000000000,4419.129394531250000,4419.975097656250000,0.845703125000000,4419.552246093750000,0.422851562500000,8839.104492187500000
,G3200310001010,1815,15,9600000.000000000000000,4397.729003906250000,4408.582519531250000,10.853515625000000,4402.023046874999636,3.165157819883970,66030.345703125000000
,G3200310001011,1816,22,14080000.000000000000000,4403.307128906250000,4414.534179687500000,11.227050781250000,4409.215265447443016,3.334697901186266,97002.735839843750000
,G3200310001012,1817,26,16640000.000000000000000,4414.017089843750000,4421.295898437500000,7.278808593750000,4418.203594501202133,1.948762247169713,114873.293457031250000
,G3200310001013,1818,109,69760000.000000000000000,4377.493164062500000,4418.768554687500000,41.275390625000000,4403.881544760607540,9.491394845312909,480023.088378906250000
,G3200310001014,1819,22,14080000.000000000000000,4404.997070312500000,4419.276367187500000,14.279296875000000,4412.637362393465992,4.303785765885573,97078.021972656250000
,G3200310001015,1820,15,9600000.000000000000000,4414.308105468750000,4419.750000000000000,5.441894531250000,4417.666145833333758,1.394362784787712,66264.992187500000000
,G3200310001101,1821,4,2560000.000000000000000,4409.950195312500000,4412.617675781250000,2.667480468750000,4411.283325195312500,0.993512590407740,17645.133300781250000
,G3200310001103,1822,35,22400000.000000000000000,4394.494140625000000,4412.505859375000000,18.011718750000000,4403.082114955356701,4.589652798005361,154107.874023437500000
,G3200310001104,1823,9,5760000.000000000000000,4412.663085937500000,4416.330566406250000,3.667480468750000,4414.569173177083030,1.204583938969702,39731.122558593750000
,G3200310001105,1824,12,7680000.000000000000000,4408.316894531250000,4413.887207031250000,5.570312500000000,4410.827677408854470,1.785556399867245,52929.932128906250000
,G3200310001201,1825,12,7680000.000000000000000,4392.991699218750000,4410.662109375000000,17.670410156250000,4401.232177734375000,5.049570277236230,52814.786132812500000
,G3200310001202,1826,6,3840000.000000000000000,4404.774414062500000,4411.015625000000000,6.241210937500000,4408.116699218750000,1.980100418138913,26448.700195312500000
,G3200310001300,1827,4,2560000.000000000000000,4404.709960937500000,4408.037109375000000,3.327148437500000,4406.178955078125000,1.208951958882677,17624.715820312500000
,G3200310001400,1828,3,1920000.000000000000000,4409.462402343750000,4411.019042968750000,1.556640625000000,4410.034016927083030,0.699506629344137,13230.102050781250000
,G3200310001501,1829,9,5760000.000000000000000,4401.669433593750000,4406.994140625000000,5.324707031250000,4404.547471788194343,1.550660999631394,39640.927246093750000
,G3200310001502,1830,9,5760000.000000000000000,4407.096679687500000,4412.573730468750000,5.477050781250000,4409.895019531250000,1.654180133037700,39689.055175781250000
,G3200310001701,1831,2,1280000.000000000000000,4407.692382812500000,4409.699218750000000,2.006835937500000,4408.695800781250000,1.003417968750000,8817.391601562500000
,G3200310001702,1832,6,3840000.000000000000000,4406.070312500000000,4410.565429687500000,4.495117187500000,4408.346842447916970,1.699423980742404,26450.081054687500000
,G3200310001801,1833,2,1280000.000000000000000,4411.554199218750000,4413.254882812500000,1.700683593750000,4412.404541015625000,0.850341796875000,8824.809082031250000
,G3200310001802,1834,4,2560000.000000000000000,4412.065917968750000,4414.094238281250000,2.028320312500000,4413.081909179687500,0.862223628933534,17652.327636718750000
,G3200310001901,1835,3,1920000.000000000000000,4412.577636718750000,4414.257812500000000,1.680175781250000,4413.696126302083030,0.790894082233049,13241.088378906250000
,G3200310001902,1836,3,1920000.000000000000000,4412.420410156250000,4414.083007812500000,1.662597656250000,4413.028157552083030,0.748769422792932,13239.084472656250000
,G3200310002103,1837,60,38400000.000000000000000,4409.317382812500000,4420.926757812500000,11.609375000000000,4415.696004231770530,2.614953048879013,264941.760253906250000
,G3200310002104,1838,19,12160000.000000000000000,4418.144042968750000,4421.789062500000000,3.645019531250000,4419.936857524670813,1.062779760289017,83978.800292968750000
,G3200310002105,1839,4,2560000.000000000000000,4419.170898437500000,4421.300292968750000,2.129394531250000,4420.603027343750000,0.837812584575007,17682.412109375000000
,G3200310002106,1840,4,2560000.000000000000000,4421.504882812500000,4421.925781250000000,0.420898437500000,4421.714965820312500,0.193560370584119,17686.859863281250000
,G3200310002107,1841,7,4480000.000000000000000,4416.679199218750000,4419.845214843750000,3.166015625000000,4418.136369977678442,1.008059238042066,30926.954589843750000
,G3200310002204,1842,10,6400000.000000000000000,4420.441406250000000,4422.058593750000000,1.617187500000000,4421.579345703125000,0.489871008204311,44215.793457031250000
,G3200310002205,1843,11,7040000.000000000000000,4417.473632812500000,4421.694335937500000,4.220703125000000,4419.966530539772975,1.206517707641944,48619.631835937500000
