"","GISJOIN","state_code","TOTALHH","response","SE","BTUelec","BTUng","CFng","COng","NOxNG","SOxNG","TOGng","PMng","CO2ng","BTUlpg","GALlpg","COlpg","NOxLPG","SOxLPG","TOGlpg","PMlpg","CO2lpg","BTUfo","GALfo","COfo","NOxFO","SOxFO","TOGfo","PMfo","CO2fo","response","SE","BTUwd","GISJOIN","FUELHEAT_1","FUELHEAT_2","FUELHEAT_3","FUELHEAT_5","FUELHEAT_7","FUELHEAT_21"
"13","G0800010008506","08",2717,9.83368870580911,0.0431798008102245,19997031.9580441,26155770.2534308,25222.5364063942,1.00890145625577,2.37091842220106,0.0151335218438365,0.277447900470337,0.191691276688596,3060.22511965141,47325905.6128694,517.211706988584,0.95684165792888,9.3098107257945,18.619621451589,1.28940878552254,0.144819277956803,6578.30088018884,60968492.9357652,438.62225133644,2.1931112566822,7.89520052405592,15.7904010481118,1.09348527258175,1.0965556283411,9834.21791053893,9.57807682066077,0.124933037547575,23397339.4784576,"G0800010008506",0.534412955465587,0,0,0.4423997055576,0,0.0154582259845418
"14","G0800010008507","08",2006,10.3548562157985,0.0431798008102245,33674853.4513145,71703844.7876833,69145.4626689328,2.76581850675731,6.49967349087968,0.0414872776013597,0.760600089358261,0.525505516283889,8389.34984015895,64158097.6765738,701.166069338089,1.29715722827546,12.6209892480856,25.2419784961712,1.74800701085985,0.196326499414665,8917.97557704376,82132500.7024142,590.881300017368,2.95440650008684,10.6358634003126,21.2717268006253,1.4730670809433,1.47720325004342,13247.9723632994,10.186955216534,0.124933037547575,43012927.6817529,"G0800010008507",0.760717846460618,0,0,0.226819541375872,0.00648055832502493,0.00598205383848455
"15","G0800010008508","08",1947,10.2088460881665,0.0431798008102245,29100089.2970795,55012884.3246817,53050.0330999823,2.12200132399929,4.98670311139834,0.0318300198599894,0.583550364099805,0.403180251559866,6436.50746598775,60593245.0349039,662.206782746868,1.22508254808171,11.9197220894436,23.8394441788872,1.65088150938794,0.185417899169123,8422.46105985164,67333466.1385742,484.413425457369,2.42206712728684,8.71944165823263,17.4388833164653,1.20764266966522,1.21103356364342,10860.888088152,9.87682774673399,0.124933037547575,31543679.7636469,"G0800010008508",0.748330765279918,0.0421160760143811,0,0.19311761684643,0.012326656394453,0
"16","G0800010008523","08",2860,10.3106423590235,0.0431798008102245,32218393.4190453,58811555.1026483,56713.1678906926,2.26852671562771,5.33103778172511,0.0340279007344156,0.623844846797619,0.431020075969264,6880.95194700985,66817578.2543796,730.230795549601,1.35092697176676,13.1441543198928,26.2883086397857,1.82046537330516,0.204464622753888,9287.64337735877,52649804.672221,378.775573181446,1.89387786590723,6.81796031726603,13.6359206345321,0.944287503941344,0.946938932953615,8492.41349362924,9.72020641010893,0.124933037547575,26970722.0152898,"G0800010008523",0.644405594405594,0.152097902097902,0,0.182867132867133,0,0.0206293706293706
"17","G0800010008524","08",2563,10.3909534337967,0.0431798008102245,34912627.6808259,76631812.6369884,73897.6013857169,2.95590405542867,6.94637453025738,0.0443385608314301,0.812873615242885,0.561621770531448,8965.92207852764,72686530.6487707,794.37094980187,1.46958625713346,14.2986770964337,28.5973541928673,1.98036677785606,0.222423865944524,10103.4277601791,55735837.3541443,400.977247152117,2.00488623576059,7.21759044873811,14.4351808974762,0.999636277150228,1.00244311788029,8990.19056522347,9.77267134041794,0.124933037547575,28423516.2116127,"G0800010008524",0.832618025751073,0.00702301989855638,0,0.160358954350371,0,0
"18","G0800010008526","08",2536,10.2044699830994,0.0431798008102245,28973022.4805033,62157242.2003634,59939.4813889714,2.39757925555886,5.63431125056331,0.0359636888333828,0.659334295278686,0.455540058556183,7272.39733744251,64430368.8487116,704.141645523722,1.30266204421888,12.674549619427,25.349099238854,1.75542512229064,0.197159660746642,8955.82126997091,56688874.5417203,407.833629796549,2.03916814898275,7.34100533633788,14.6820106726758,1.0167292390828,1.01958407449137,9143.91546357949,9.65729075230104,0.124933037547575,25326119.3872896,"G0800010008526",0.82018927444795,0.00433753943217666,0,0.169558359621451,0,0.00591482649842271
"19","G0800010008529","08",3254,9.94565591276124,0.0431798008102245,22366203.9517791,37412226.2140054,36077.3637550679,1.44309455020272,3.39127219297638,0.0216464182530407,0.396851001305747,0.274187964538516,4377.23046703863,54442106.9099638,594.982698847717,1.10071799286828,10.7096885792589,21.4193771585178,1.48329186822736,0.166595155677361,7567.45286048496,45778938.5012166,329.344881303716,1.64672440651858,5.92820786346689,11.8564157269338,0.821056789090165,0.823362203259291,7384.14278024623,9.44431546192876,0.124933037547575,20467964.5642517,"G0800010008529",0.646588813767671,0.00829748002458513,0,0.338967424708052,0,0.00614628149969269
"20","G0800010008533","08",2957,10.0171137273888,0.0431798008102245,24022932.1891757,42156880.318777,40652.7293334397,1.62610917333759,3.82135655734333,0.0243916376000638,0.447180022667837,0.308960742934142,4932.35499729691,57636319.405921,629.891362002152,1.16529901970398,11.3380445160387,22.6760890320775,1.57031916547137,0.176369581360603,8011.44839742301,48074964.7244799,345.863055571798,1.72931527785899,6.22553500029236,12.4510700005847,0.862236597540492,0.864657638929495,7754.49181005861,9.45215155830296,0.124933037547575,20628983.5634197,"G0800010008533",0.670273926276632,0.0101454176530267,0,0.312817044301657,0,0
"21","G0800010008534","08",1353,10.3833260723082,0.0431798008102245,34647349.4216597,59812734.2379455,57678.6251089156,2.30714500435663,5.42179076023807,0.0346071750653494,0.634464876198072,0.438357550827759,6998.08990583962,67816558.3443264,741.148372104723,1.37112448839374,13.340670697885,26.68134139577,1.84768289165707,0.207521544189322,9426.50160986137,75725924.6961501,544.790825152159,2.7239541257608,9.80623485273887,19.6124697054777,1.35816352710433,1.3619770628804,12214.591653489,10.067648368694,0.124933037547575,38175496.863316,"G0800010008534",0.645971914264597,0,0,0.348115299334812,0.00591278640059128,0
"22","G0800010008535","08",1144,10.2504129251999,0.0431798008102245,30335179.5364092,61272688.8692651,59086.4887842479,2.36345955136992,5.55412994571931,0.0354518932705488,0.649951376626727,0.449057314760284,7168.90459770402,66848066.9172733,730.563997697027,1.3515433957395,13.1501519585465,26.300303917093,1.82129604625869,0.204557919355167,9291.88130150099,48320317.729981,347.628185107777,1.73814092553889,6.25730733193999,12.51461466388,0.866637065473688,0.869070462769443,7794.06724984594,9.6278403507976,0.124933037547575,24591130.9768251,"G0800010008535",0.73513986013986,0.0157342657342657,0,0.236888111888112,0,0.0122377622377622
