"","GISJOIN","state_code","TOTALHH","response","SE","BTUelec","response","SE","BTUng","response","SE","BTUlpg","response","SE","BTUfo","response","SE","BTUwd"
"1864","G3500050001002","35",1854,10.3713232369266,0.0431798008102245,34233968.8226819,10.4043100504404,0.0632810440206887,34865520.2437395,8.66258580018436,0.616218878489942,5782467.65324093,6.61666114950656,0.203908437872553,747445.318070857,8.9470333752025,0.295740613754592,7685059.32250997
"1865","G3500050001101","35",1609,10.2792723628766,0.0431798008102245,31223390.7517861,10.5699906541248,0.0632810440206887,41148150.7105465,8.59612975636738,0.616218878489942,5410678.3728181,7.15401283315764,0.203908437872553,1279229.00188795,8.66284907798575,0.295740613754592,5783990.24903532
"1866","G3500050001102","35",1430,10.4780782160555,0.0431798008102245,38090822.3795705,10.4217161024363,0.0632810440206887,35477703.6943955,9.10747818613663,0.616218878489942,9022513.07920307,7.01816884736949,0.203908437872553,1116739.8232569,9.4059582287318,0.295740613754592,12160621.0661133
"1867","G3500050001200","35",575,10.4071934636266,0.0431798008102245,35484238.7230569,10.3072129339188,0.0632810440206887,31639339.4523644,9.24524370678082,0.616218878489942,10355196.052565,6.63955517738657,0.203908437872553,764754.737148083,9.67366464381264,0.295740613754592,15893486.3986556
"1868","G3500050001300","35",863,10.345608819939,0.0431798008102245,33364884.1641889,10.461968194226,0.0632810440206887,36934886.0567493,8.84233583303017,0.616218878489942,6921140.40213339,6.74521170432551,0.203908437872553,849979.051873111,8.95701432337465,0.295740613754592,7762147.56824499
"1869","G3500050001400","35",841,10.3558141718115,0.0431798008102245,33707127.9359644,10.5041462410847,0.0632810440206887,38526047.5730065,8.78306877713747,0.616218878489942,6522863.70556571,6.84259367631108,0.203908437872553,936916.043007661,9.06830463195692,0.295740613754592,8675902.48239612
"1870","G3500060941500","35",706,10.2687016943454,0.0431798008102245,30895076.9430706,10.4072321409652,0.0632810440206887,34967549.4467685,8.96430560505434,0.616218878489942,7818950.40369164,8.82304799728539,0.203908437872553,6788925.74900264,9.80972827230402,0.295740613754592,18210038.2334349
"1871","G3500060945800","35",714,10.21537229563,0.0431798008102245,29290623.5738882,10.3812925727344,0.0632810440206887,34072169.4028805,8.95817562983192,0.616218878489942,7771167.03650805,8.57430701983244,0.203908437872553,5293881.61184207,10.4990130034075,0.295740613754592,36279677.0796322
"1872","G3500060946100","35",1116,10.2527775833067,0.0431798008102245,30406996.7427265,10.670936624118,0.0632810440206887,45518778.5364834,8.47207308168056,0.616218878489942,4779413.32061873,8.90742850552697,0.203908437872553,7386641.94600081,9.79805157557771,0.295740613754592,17998641.7478378
"1873","G3500060974201","35",1586,9.95870092773601,0.0431798008102245,22659882.7749238,10.5156048777265,0.0632810440206887,38970042.4835168,8.05451552734833,0.616218878489942,3147977.70534809,8.0274090957242,0.203908437872553,3063793.38570903,9.05740389863898,0.295740613754592,8581842.37660452
"1874","G3500060974202","35",1114,10.0481083149481,0.0431798008102245,24779172.1978213,10.7778702279283,0.0632810440206887,50656044.375322,8.02136370031085,0.616218878489942,3045327.41650968,8.25462825917077,0.203908437872553,3845382.12444023,9.27388687143735,0.295740613754592,10656090.3489539
"1875","G3500060974400","35",1905,9.96151037253385,0.0431798008102245,22723633.9755127,10.7107435918092,0.0632810440206887,47367290.8287975,7.94505485375384,0.616218878489942,2821587.23181485,8.46040535448011,0.203908437872553,4723972.49299742,9.04609622185122,0.295740613754592,8485348.26703894
"1876","G3500060974700","35",1798,10.1590149830202,0.0431798008102245,27685536.7448092,10.4414406560548,0.0632810440206887,36184432.6062725,8.78328896899294,0.616218878489942,6524300.14516835,8.28931700723717,0.203908437872553,3981114.19358468,9.11055400889398,0.295740613754592,9050307.45363246
"1877","G3500070950500","35",1830,10.0304323610724,0.0431798008102245,24345024.9797378,10.7750163618116,0.0632810440206887,50511684.8959622,8.47443752812381,0.616218878489942,4790727.35789206,8.78736856336094,0.203908437872553,6550971.00945916,9.4458935912016,0.295740613754592,12656087.3418147
