"","GISJOIN","state_code","TOTALHH","TOTALPOP","BTUelec","BTUng","BTUlpg","BTUfo","BTUwood"
"330","G0800310000800",8,465,1462,29286225605.8188,46935625589.0953,0.000883953570663121,0.000146199999999996,0.000545379777198563
"331","G0800310000902",8,1897,6276,154000116050.662,397285064977.036,0.00256432966972083,0.000627599999999984,0.00288918020870994
"332","G0800310000903",8,1977,6654,161520235478.174,396337990942.436,0.00223780003922125,0.000665399999999983,0.00474562184607951
"333","G0800310000904",8,1889,5276,109867956797.923,190705729662.687,0.00276136651119545,0.000527599999999987,0.00173296677127933
"334","G0800310001000",8,1318,4560,115175114233.686,267091249992.68,0.00250383888571051,0.000455999999999988,0.0039509608747097
"335","G0800310001102",8,2103,4407,92859410252.0241,144454773641.258,0.0031325112592592,0.00044069999999999,0.000376906674903274
"336","G0800310001302",8,1446,4076,96270541318.9238,233268269404.216,0.00254866372788099,0.00040759999999999,0.00202423646472474
"337","G0800310001401",8,2251,6548,141885255137.754,276342389259.004,0.0028956455042984,0.000654799999999983,0.00348004519047224
"338","G0800310001402",8,1539,4945,124961650582.505,286051577391.538,0.0024418788560259,0.000494499999999987,0.0033277654046037
"339","G0800310001403",8,1596,3269,70804685662.556,117671645572.066,0.000968786467421585,0.000326899999999993,0.000361860181451144
"340","G0800310001600",8,5578,11461,206970848026.725,278695489458.798,0.00316719305747751,0.00114609999999998,0.000543088169733345
"341","G0800310001701",8,4344,6523,113125566910.53,128005683581.507,0.0025246383168862,0.000652299999999986,0.000106774510896046
"342","G0800310001702",8,2637,4253,70153390095.0554,76140790206.489,0.00194718399505956,0.000425299999999991,0.000121104195700333
"343","G0800310001800",8,1721,3457,62052408084.7414,86779924473.1191,0.001338488230743,0.000345699999999993,0.00148646072223875
"344","G0800310001901",8,1153,3080,63620746129.1938,89568263809.6335,0.000481199998022865,0.000307999999999992,0.000200632743594846
"345","G0800310002000",8,1433,2202,39665167155.2262,48042245412.5146,0.00144174997139168,0.000220199999999994,0.0000641621926367007
"346","G0800310002403",8,2303,4217,75138737871.81,105571693806.698,0.00076186514608444,0.000421699999999989,0.000306131086159197
"347","G0800310002601",8,2473,3518,55747907122.3582,67735381651.4013,0.00170174742959614,0.000351799999999992,0.000151122763739208
"348","G0800310002602",8,1745,2842,48003630587.4295,65884603720.4597,0.000827300469341501,0.000284199999999994,0.000205989246619403
"349","G0800310002702",8,4192,6271,100361022084.882,135884733167.236,0.00576055187238622,0.000627099999999986,0.000566845636515462
"350","G0800310002703",8,3456,5129,80315407884.9191,108905320673.4,0.00249666212368265,0.000512899999999989,0.000413930240240384
